====>> Read file list
70000
70000
===> Loading datasets
===> Building model
===> Setting GPU
=> no checkpoint found at 'ckp/model_epoch_100.pth'
===> Setting Optimizer
===> Training
Current lr 0.0001
Epoch=1, lr=0.0001
Epoch:[3/150][2000/5833]	Time: 1.154 (1.284)	Data: 0.004 (0.010)	Loss: 21.773 (21.824)	PNSR: 22.837 (22.323)
Epoch:[3/150][2100/5833]	Time: 1.519 (1.284)	Data: 0.000 (0.010)	Loss: 26.267 (21.820)	PNSR: 21.661 (22.331)
Epoch:[3/150][2200/5833]	Time: 1.338 (1.283)	Data: 0.001 (0.009)	Loss: 16.396 (21.852)	PNSR: 24.420 (22.323)
Epoch:[3/150][2300/5833]	Time: 1.110 (1.282)	Data: 0.000 (0.009)	Loss: 24.224 (21.828)	PNSR: 20.926 (22.319)
Epoch:[3/150][2400/5833]	Time: 1.302 (1.280)	Data: 0.000 (0.009)	Loss: 14.696 (21.838)	PNSR: 25.304 (22.310)
Epoch:[3/150][2500/5833]	Time: 1.131 (1.281)	Data: 0.000 (0.008)	Loss: 16.462 (21.785)	PNSR: 24.841 (22.320)
Epoch:[3/150][2600/5833]	Time: 1.727 (1.281)	Data: 0.002 (0.008)	Loss: 26.097 (21.746)	PNSR: 21.137 (22.330)
Epoch:[3/150][2700/5833]	Time: 1.293 (1.281)	Data: 0.001 (0.008)	Loss: 26.277 (21.683)	PNSR: 20.799 (22.349)
Epoch:[3/150][2800/5833]	Time: 1.120 (1.281)	Data: 0.000 (0.007)	Loss: 26.648 (21.633)	PNSR: 19.884 (22.364)
Epoch:[3/150][2900/5833]	Time: 1.150 (1.281)	Data: 0.001 (0.007)	Loss: 25.419 (21.601)	PNSR: 20.045 (22.367)
Epoch:[3/150][3000/5833]	Time: 1.331 (1.280)	Data: 0.000 (0.007)	Loss: 26.864 (21.531)	PNSR: 19.539 (22.387)
Epoch:[3/150][3100/5833]	Time: 1.039 (1.279)	Data: 0.000 (0.007)	Loss: 30.160 (21.514)	PNSR: 20.284 (22.390)
Epoch:[3/150][3200/5833]	Time: 0.805 (1.279)	Data: 0.000 (0.007)	Loss: 22.760 (21.475)	PNSR: 21.572 (22.397)
Epoch:[3/150][3300/5833]	Time: 1.801 (1.279)	Data: 0.000 (0.007)	Loss: 18.062 (21.418)	PNSR: 23.029 (22.413)
Epoch:[3/150][3400/5833]	Time: 1.497 (1.278)	Data: 0.000 (0.006)	Loss: 15.261 (21.358)	PNSR: 23.322 (22.430)
Epoch:[3/150][3500/5833]	Time: 1.599 (1.278)	Data: 0.000 (0.006)	Loss: 18.183 (21.303)	PNSR: 23.309 (22.442)
Epoch:[3/150][3600/5833]	Time: 1.204 (1.278)	Data: 0.001 (0.006)	Loss: 15.937 (21.251)	PNSR: 26.375 (22.460)
Epoch:[3/150][3700/5833]	Time: 1.467 (1.278)	Data: 0.000 (0.006)	Loss: 16.953 (21.237)	PNSR: 23.647 (22.461)
Epoch:[3/150][3800/5833]	Time: 1.697 (1.277)	Data: 0.000 (0.006)	Loss: 32.040 (21.211)	PNSR: 20.407 (22.477)
Epoch:[3/150][3900/5833]	Time: 1.080 (1.278)	Data: 0.000 (0.006)	Loss: 30.339 (21.166)	PNSR: 19.361 (22.491)
Epoch:[3/150][4000/5833]	Time: 1.156 (1.278)	Data: 0.000 (0.005)	Loss: 23.182 (21.123)	PNSR: 21.526 (22.506)
Epoch:[3/150][4100/5833]	Time: 1.344 (1.277)	Data: 0.003 (0.005)	Loss: 24.501 (21.081)	PNSR: 22.190 (22.522)
Epoch:[3/150][4200/5833]	Time: 1.206 (1.277)	Data: 0.000 (0.005)	Loss: 15.206 (21.074)	PNSR: 25.552 (22.523)
Epoch:[3/150][4300/5833]	Time: 1.064 (1.277)	Data: 0.001 (0.005)	Loss: 20.250 (21.044)	PNSR: 23.652 (22.533)
Epoch:[3/150][4400/5833]	Time: 1.117 (1.277)	Data: 0.000 (0.005)	Loss: 16.081 (21.005)	PNSR: 24.341 (22.548)
Epoch:[3/150][4500/5833]	Time: 1.128 (1.277)	Data: 0.000 (0.005)	Loss: 14.562 (20.963)	PNSR: 24.244 (22.565)
Epoch:[3/150][4600/5833]	Time: 1.432 (1.278)	Data: 0.001 (0.005)	Loss: 20.663 (20.922)	PNSR: 22.941 (22.582)
Epoch:[3/150][4700/5833]	Time: 1.535 (1.277)	Data: 0.000 (0.005)	Loss: 14.525 (20.878)	PNSR: 23.756 (22.600)
Epoch:[3/150][4800/5833]	Time: 0.903 (1.277)	Data: 0.000 (0.005)	Loss: 18.232 (20.855)	PNSR: 23.706 (22.608)
Epoch:[3/150][4900/5833]	Time: 1.557 (1.277)	Data: 0.000 (0.005)	Loss: 24.856 (20.833)	PNSR: 20.115 (22.616)
Epoch:[3/150][5000/5833]	Time: 1.135 (1.277)	Data: 0.001 (0.004)	Loss: 18.272 (20.816)	PNSR: 22.625 (22.623)
Epoch:[3/150][5100/5833]	Time: 1.059 (1.277)	Data: 0.000 (0.004)	Loss: 18.255 (20.766)	PNSR: 21.810 (22.642)
Epoch:[3/150][5200/5833]	Time: 1.063 (1.277)	Data: 0.000 (0.004)	Loss: 25.614 (20.725)	PNSR: 20.056 (22.656)
Epoch:[3/150][5300/5833]	Time: 1.039 (1.277)	Data: 0.001 (0.004)	Loss: 14.879 (20.690)	PNSR: 24.420 (22.669)
Epoch:[3/150][5400/5833]	Time: 1.078 (1.276)	Data: 0.000 (0.004)	Loss: 19.078 (20.651)	PNSR: 24.450 (22.681)
Epoch:[3/150][5500/5833]	Time: 1.036 (1.276)	Data: 0.000 (0.004)	Loss: 24.032 (20.604)	PNSR: 21.150 (22.699)
